Date,Country,Confirmed,Deaths,Recovered,Active,Vaccinated
2021-01-01,India,10000,200,7500,2300,500
2021-01-02,India,12000,250,9000,2750,1000
2021-01-03,India,14000,300,11000,2700,1500
2021-01-04,India,17000,350,13000,3650,2000
2021-01-05,India,20000,400,16000,3600,3000

2021-01-01,USA,15000,500,10000,4500,800
2021-01-02,USA,18000,600,12000,5400,1200
2021-01-03,USA,21000,700,14500,5800,1800
2021-01-04,USA,24000,850,17000,6150,2500
2021-01-05,USA,28000,1000,20000,7000,3200

2021-01-01,Brazil,9000,180,6500,2320,400
2021-01-02,Brazil,11000,220,7800,2980,700
2021-01-03,Brazil,13000,280,9500,3220,1100
2021-01-04,Brazil,16000,340,12000,3660,1600
2021-01-05,Brazil,19000,400,14500,4100,2200

2021-01-01,Russia,7000,150,5000,1850,300
2021-01-02,Russia,8500,180,6200,2120,600
2021-01-03,Russia,10000,220,7500,2280,900
2021-01-04,Russia,12500,280,9300,2920,1300
2021-01-05,Russia,15000,350,11200,3450,1800

2021-01-01,UK,8000,170,6000,1830,350
2021-01-02,UK,9500,210,7200,2090,650
2021-01-03,UK,11500,260,8700,2540,950
2021-01-04,UK,14000,320,10500,3180,1400
2021-01-05,UK,17000,380,13000,3620,1900
